t,zeta,ground_truth_dim0,ltc_pred_dim0,ground_truth_dim1,ltc_pred_dim1
5.9296484,zeta0p1,-0.17968804,-0.46452534,-0.089970306,0.0960647
6.1306534,zeta0p1,-0.7286074,-0.4458758,0.24450396,0.088954695
6.3316584,zeta0p1,-0.030631917,-0.39836875,-0.13699472,0.053112987
6.5326633,zeta0p1,-0.72012687,-0.3714075,0.21283713,0.046945594
6.7336683,zeta0p1,0.113759935,-0.3138522,-0.17675956,0.009884998
6.9346733,zeta0p1,-0.6835582,-0.2802403,0.17401801,0.005149708
7.1356783,zeta0p1,0.24797218,-0.21629679,-0.20798074,-0.031305116
7.3366833,zeta0p1,-0.62145144,-0.1783256,0.12986012,-0.03425108
7.5376883,zeta0p1,0.36710888,-0.11197494,-0.22976309,-0.06852502
7.738693,zeta0p1,-0.5372641,-0.07225176,0.082316935,-0.06950218
7.9396987,zeta0p1,0.46706197,-0.007272549,-0.24161866,-0.10032603
8.140703,zeta0p1,-0.43518925,0.031641293,0.033398174,-0.09934223
8.341708,zeta0p1,0.54464215,0.09206659,-0.24347079,-0.12575625
8.542713,zeta0p1,-0.31996006,0.1279643,-0.014911132,-0.12298378
8.743718,zeta0p1,0.59766936,0.18144152,-0.23564053,-0.1443094
8.944724,zeta0p1,-0.19664292,0.21265508,-0.060728304,-0.14004146
9.145729,zeta0p1,0.62501794,0.25757807,-0.21881846,-0.15584067
9.346734,zeta0p1,-0.07042395,0.28302643,-0.10234345,-0.15044114
9.547739,zeta0p1,0.6266203,0.3184542,-0.19402272,-0.160481
9.748744,zeta0p1,0.0536009,0.33758822,-0.13827932,-0.15433864
9.949749,zeta0p1,0.6034279,0.36307698,-0.16254632,-0.15856798
10.150754,zeta0p1,0.17062365,0.375769,-0.16734165,-0.15206143
10.351759,zeta0p1,0.5573328,0.39122102,-0.12589458,-0.15060021
10.552764,zeta0p1,0.27630064,0.39764413,-0.18865396,-0.14407495
