t,zeta,ground_truth_dim0,ltc_pred_dim0,ground_truth_dim1,ltc_pred_dim1
9.145729,zeta1p2,-0.066383116,0.028011851,-0.00030246328,0.0010405991
9.346734,zeta1p2,0.1112596,0.029624406,0.0005059557,0.0018756355
9.547739,zeta1p2,-0.0596295,0.02605919,-0.00027153373,0.000524633
9.748744,zeta1p2,0.09989501,0.02735148,0.00045421638,0.0013011196
9.949749,zeta1p2,-0.05355563,0.024007853,-0.00024376654,0.000115776085
10.150754,zeta1p2,0.0896886,0.02503682,0.00040776818,0.00084059977
10.351759,zeta1p2,-0.048095454,0.021919385,-0.00021883895,-0.0001970476
10.552764,zeta1p2,0.08052313,0.022740487,0.0003660704,0.0004786732
10.753769,zeta1p2,-0.04318849,0.019854942,-0.0001964609,-0.0004302024
10.954774,zeta1p2,0.07229303,0.020517543,0.00032863606,0.00019673305
11.155779,zeta1p2,-0.038779814,0.017866757,-0.00017637086,-0.00060167926
11.356784,zeta1p2,0.064903215,0.018411716,0.0002950296,-2.3949076e-05
11.557789,zeta1p2,-0.034819517,0.015993834,-0.00015833513,-0.0007285558
11.758794,zeta1p2,0.058268204,0.016452875,0.0002648604,-0.00020020804
11.959799,zeta1p2,-0.031262554,0.014260929,-0.00014214394,-0.0008254626
12.160804,zeta1p2,0.05231107,0.014657186,0.00023777592,-0.0003459094
12.361809,zeta1p2,-0.028068174,0.012679703,-0.00012760829,-0.0009038851
12.562814,zeta1p2,0.046962697,0.013028989,0.00021346056,-0.00047159268
12.763819,zeta1p2,-0.02519967,0.011251092,-0.00011455888,-0.0009720846
12.964824,zeta1p2,0.042160943,0.011563462,0.00019163244,-0.00058462727
13.165829,zeta1p2,-0.022623952,0.009968169,-0.00010284429,-0.0010354157
13.366835,zeta1p2,0.037850022,0.01024953,0.00017203634,-0.0006896571
13.56784,zeta1p2,-0.020311255,0.009096591,-9.232758e-05,-0.000984379
13.768845,zeta1p2,0.033979792,0.009638419,0.0001544439,-0.00063413143
13.96985,zeta1p2,-0.018234795,0.008588003,-8.288615e-05,-0.0009541067
14.170855,zeta1p2,0.030505244,0.009040814,0.00013865036,-0.0006820226
14.37186,zeta1p2,-0.016370503,0.008051311,-7.441015e-05,-0.0010006777
14.572865,zeta1p2,0.027385943,0.008402413,0.00012447237,-0.00077875826
14.7738695,zeta1p2,-0.014696732,0.0072530922,-6.680122e-05,-0.0011612041
14.9748745,zeta1p2,0.024585556,0.0072974446,0.00011174384,-0.0010019625
15.1758795,zeta1p2,-0.013194028,0.006215674,-5.997016e-05,-0.001311955
15.376884,zeta1p2,0.022071516,0.0062201624,0.00010031665,-0.0011417199
15.577889,zeta1p2,-0.011844938,0.005226611,-5.3837444e-05,-0.0013981826
15.778894,zeta1p2,0.019814538,0.0052184514,9.005828e-05,-0.0012283555
15.979899,zeta1p2,-0.010633767,0.004322927,-4.8332033e-05,-0.0014457952
16.180904,zeta1p2,0.01778834,0.004318326,8.084927e-05,-0.0012841391
16.38191,zeta1p2,-0.009546422,0.0035220827,-4.3389828e-05,-0.001473174
16.582914,zeta1p2,0.01596933,0.0035288013,7.258168e-05,-0.0013243691
16.78392,zeta1p2,-0.0085702455,0.002827002,-3.8952814e-05,-0.0014923878
16.984924,zeta1p2,0.01433633,0.0028468827,6.5159205e-05,-0.0013586696
17.18593,zeta1p2,-0.0076938844,0.0022308987,-3.4969315e-05,-0.0015105408
17.386934,zeta1p2,0.012870314,0.0022621101,5.8496018e-05,-0.0013923561
17.58794,zeta1p2,-0.00690713,0.0017214703,-3.139335e-05,-0.0015310945
17.788944,zeta1p2,0.011554203,0.0017603177,5.2514562e-05,-0.0014276953
17.98995,zeta1p2,-0.00620082,0.0012841779,-2.8183302e-05,-0.0015550536
18.190954,zeta1p2,0.010372676,0.0013264152,4.714449e-05,-0.0014649924
18.39196,zeta1p2,-0.0055667344,0.0009045669,-2.5301339e-05,-0.0015819336
18.592964,zeta1p2,0.009311974,0.0009462787,4.232334e-05,-0.0015034511
18.79397,zeta1p2,-0.0049974867,0.00056974747,-2.2713926e-05,-0.0016105131
18.994974,zeta1p2,0.008359739,0.00060783175,3.799531e-05,-0.0015418163
19.19598,zeta1p2,-0.0044864514,0.00026914311,-2.0391168e-05,-0.0016393601
19.396984,zeta1p2,0.0075048767,0.00030150116,3.4110104e-05,-0.0015787955
19.59799,zeta1p2,-0.004027672,-5.306414e-06,-1.8306062e-05,-0.0016671654
19.798994,zeta1p2,0.0067374324,2.020583e-05,3.0622057e-05,-0.0016133145
20.0,zeta1p2,-0.003615806,-0.00025931888,-1.6434107e-05,-0.0016929182
